SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
62,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124,10.65,9.98,0.67,4.54,3.87,0.67,42.63%,25,150,NIL,0,0,0
58,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.5,10.62,10.20,0.42,8.86,8.44,0.42,83.43%,25,185,ALERT,102,102,0
64,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,164.65,10.09,9.86,0.23,4.69,4.46,0.23,46.48%,0,215,NIL,0,0,0
56,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.866,13.64,13.63,0.01,6.22,6.21,0.01,45.60%,66,97,NIL,0,0,0
63,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,198.9,29.94,29.94,0.00,14.04,14.04,0.00,46.89%,13,101,NIL,0,0,0
60,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.7,6.93,6.38,0.55,2.98,2.43,0.55,43.00%,0,90,NIL,0,0,0
53,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,30,62,NIL,0,0,0
59,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,50,141,NIL,0,0,0
61,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.25,26.92,24.63,2.29,26.92,24.63,2.29,100%,5,165,HIGHALERT,45,45,0
54,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,33.5,10.19,7.44,2.75,6.76,4.01,2.75,66.34%,0,220,NIL,0,0,0
57,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,190,NIL,0,0,0
55,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.29,6.37,6.37,0.00,6.37,6.37,0.00,100%,10,240,HIGHALERT,0,0,0
38,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,102.93,7.54,7.22,0.32,0.01,0.00,0.01,0.13%,0,114,NIL,0,0,0
39,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,177.09,152.84,149.39,3.45,48.69,45.24,3.45,31.86%,2,83,NIL,0,0,0
43,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,209.89,53.13,49.97,3.16,26.50,23.34,3.16,49.88%,0,69,NIL,123,0,0
42,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,132.31,158.20,134.79,23.41,77.18,53.77,23.41,48.79%,0,199,NIL,0,0,0
41,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,194.6,9.28,8.70,0.58,2.87,2.29,0.58,30.93%,7,109,NIL,0,0,0
40,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,154.61,43.86,36.58,7.28,22.54,15.26,7.28,51.39%,0,187,NIL,0,0,0
46,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,169.39,397.12,392.01,5.10,42.26,37.16,5.10,10.64%,0,74,NIL,1364,0,0
45,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,173.95,161.43,145.37,16.06,7.35,0.00,7.35,4.55%,0,78,NIL,0,0,0
44,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,194.47,31.46,26.30,5.16,6.67,1.51,5.16,21.20%,0,112,NIL,47,0,0
