SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
62,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124,10.65,9.98,0.67,4.54,3.87,0.67,42.63%,0,125,NIL,0,0,0
58,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.5,10.62,10.20,0.42,8.86,8.44,0.42,83.43%,0,160,ALERT,102,102,0
64,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,164.01,10.09,9.86,0.23,3.65,3.42,0.23,36.17%,0,215,NIL,0,0,0
56,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.866,13.64,13.63,0.01,6.22,6.21,0.01,45.60%,0,31,NIL,0,0,0
63,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,198.9,29.94,29.94,0.00,14.04,14.04,0.00,46.89%,0,88,NIL,0,0,0
60,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.7,6.93,6.38,0.55,2.98,2.43,0.55,43.00%,0,90,NIL,0,0,0
53,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,32,NIL,0,0,0
59,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,0,91,NIL,0,0,0
61,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.25,26.92,24.63,2.29,26.92,24.63,2.29,100%,0,160,HIGHALERT,45,45,0
54,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,33.5,10.19,7.44,2.75,6.76,4.01,2.75,66.34%,0,220,NIL,0,0,0
57,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,190,NIL,0,0,0
55,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.315,6.37,6.37,0.00,6.37,6.37,0.00,100%,0,230,HIGHALERT,59.5,59.5,0
38,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,102.93,7.54,7.22,0.32,0.01,0.00,0.01,0.13%,0,97,NIL,0,0,0
39,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,176.87,152.84,149.39,3.45,45.70,42.25,3.45,29.90%,0,70,NIL,0,0,0
43,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,209.44,53.13,49.97,3.16,24.33,21.17,3.16,45.79%,0,58,NIL,0,0,0
42,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,132.26,158.20,134.79,23.41,76.40,52.99,23.41,48.29%,0,136,NIL,0,0,0
41,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,194.53,9.28,8.70,0.58,2.81,2.23,0.58,30.28%,0,92,NIL,0,0,0
40,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,154.44,43.86,36.58,7.28,21.69,14.41,7.28,49.45%,0,88,NIL,0,0,0
46,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,168.95,397.12,392.01,5.10,38.22,33.12,5.10,9.62%,0,19,NIL,0,0,0
45,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,173.49,161.43,145.37,16.06,6.21,0.00,6.21,3.85%,0,23,NIL,0,0,0
44,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,193.33,31.46,26.30,5.16,4.61,0.00,4.61,14.65%,0,43,NIL,0,0,0
194,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124,136,132.9,14.17,12.56,1.61,9.21,7.60,1.61,65.00%,32,121,NIL,0,0,0
195,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,133,8.15,7.84,0.31,0.61,0.30,0.31,7.48%,0,98,NIL,0,0,0
196,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,132.06,7.52,7.27,0.25,0.56,0.31,0.25,7.45%,0,162,NIL,0,0,0
68,84,68,Bhavnagar,Bhavnagar,Lakhanka,Sau,G,34.98,44.22,39,3.68,3.68,0.00,0.26,0.26,0.00,7.07%,0,110,NIL,0,0,0
76,90,81,Bhavnagar,Mahuva,Bagad,Sau,UG,55.36,60.41,60.41,11.18,9.66,1.52,11.18,9.66,1.52,100%,0,350,HIGHALERT,0,0,0
70,81,83,Bhavnagar,Mahuva,Malan,Sau,G,93.9,104.25,102.75,11.44,11.44,0.00,7.36,7.36,0.00,64.34%,0,243,NIL,65,65,0
73,91,82,Bhavnagar,Mahuva,Rojki,Sau,UG,89.15,99.06,99.1,9.23,9.13,0.10,9.23,9.13,0.10,100%,0,249,HIGHALERT,12,12,0
66,86,77,Bhavnagar,Palitana,Hanol,Sau,G,86.35,90.1,89.5,5.60,5.43,0.17,4.06,3.89,0.17,72.50%,12,262,WARNING,0,0,0
71,80,76,Bhavnagar,Palitana,Kharo,Sau,G,47.5,54.12,53.5,12.24,11.84,0.40,9.71,9.31,0.40,79.33%,15,365,WARNING,0,0,0
74,77,78,Bhavnagar,Palitana,Rajawal,Sau,G,50,56.75,56,28.21,25.84,2.37,22.64,20.27,2.37,80.26%,10,480,ALERT,0,0,0
75,76,75,Bhavnagar,Palitana,Shetrunji,Sau,G,45.17,55.53,55.25,346.48,341.45,5.03,327.51,322.48,5.03,94.52%,5,345,HIGHALERT,0,0,0
67,85,80,Bhavnagar,Talaja,Hamirpara,Sau,G,82.6,87.8,85.9,2.02,1.93,0.09,0.83,0.74,0.09,41.09%,15,291,NIL,0,0,0
65,196,69,Bhavnagar,Talaja,Jaspara-Mandva,Sau,UG,30.2,40.25,34.6,3.72,3.18,0.54,1.27,0.73,0.54,34.14%,10,120,NIL,0,0,0
72,88,79,Bhavnagar,Talaja,Pingli,Sau,G,45.2,51.3,50.7,2.11,1.84,0.27,1.74,1.47,0.27,82.46%,6,333,ALERT,0,0,0
