SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
62,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124,10.65,9.98,0.67,4.54,3.87,0.67,42.63%,25,180,NIL,0,0,0
58,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.5,10.62,10.20,0.42,8.86,8.44,0.42,83.43%,40,235,ALERT,102,102,0
64,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,164.93,10.09,9.86,0.23,5.15,4.92,0.23,51.04%,0,220,NIL,0,0,0
56,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.866,13.64,13.63,0.01,6.22,6.21,0.01,45.60%,0,97,NIL,0,0,0
63,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,198.9,29.94,29.94,0.00,14.04,14.04,0.00,46.89%,0,130,NIL,0,0,0
60,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.7,6.93,6.38,0.55,2.98,2.43,0.55,43.00%,20,150,NIL,0,0,0
53,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,62,NIL,0,0,0
59,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,22,163,NIL,0,0,0
61,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.25,26.92,24.63,2.29,26.92,24.63,2.29,100%,15,200,HIGHALERT,45,45,0
54,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,33.5,10.19,7.44,2.75,6.76,4.01,2.75,66.34%,70,300,NIL,0,0,0
57,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,200,NIL,0,0,0
55,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.29,6.37,6.37,0.00,6.37,6.37,0.00,100%,5,255,HIGHALERT,0,0,0
38,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,102.93,7.54,7.22,0.32,0.01,0.00,0.01,0.13%,9,143,NIL,0,0,0
39,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,177.12,152.84,149.39,3.45,49.11,45.66,3.45,32.13%,23,133,NIL,340,0,0
43,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,210.09,53.13,49.97,3.16,27.49,24.33,3.16,51.74%,62,153,NIL,480,0,0
42,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,132.87,158.20,134.79,23.41,85.86,62.45,23.41,54.27%,10,339,NIL,400,0,0
41,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,195.1,9.28,8.70,0.58,3.33,2.75,0.58,35.88%,48,182,NIL,1200,0,0
40,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,155,43.86,36.58,7.28,24.49,17.21,7.28,55.84%,11,358,NIL,140,140,0
46,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,169.47,397.12,392.01,5.10,43.05,37.95,5.10,10.84%,33,107,NIL,0,0,0
45,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,173.45,161.43,145.37,16.06,6.11,0.00,6.11,3.78%,35,113,NIL,0,0,0
44,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,194.5,31.46,26.30,5.16,6.73,1.57,5.16,21.39%,49,161,NIL,369,0,0
194,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124,136,134.55,14.17,12.56,1.61,11.68,10.07,1.61,82.43%,36,324,ALERT,49.04,0,0
195,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,136.49,8.15,7.84,0.31,2.23,1.92,0.31,27.36%,8,330,NIL,0,0,0
196,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,136.08,7.52,7.27,0.25,3.07,2.82,0.25,40.82%,7,516,NIL,12.26,0,0
68,84,68,Bhavnagar,Bhavnagar,Lakhanka,Sau,G,34.98,44.22,38.8,3.68,3.68,0.00,0.22,0.22,0.00,5.98%,7,120,NIL,0,0,0
76,90,81,Bhavnagar,Mahuva,Bagad,Sau,UG,55.36,60.41,60.41,11.18,9.66,1.52,11.18,9.66,1.52,100%,10,375,HIGHALERT,0,0,0
70,81,83,Bhavnagar,Mahuva,Malan,Sau,G,93.9,104.25,102.93,11.44,11.44,0.00,7.75,7.75,0.00,67.74%,15,271,NIL,90,0,0
73,91,82,Bhavnagar,Mahuva,Rojki,Sau,UG,89.15,99.06,99.1,9.23,9.13,0.10,9.23,9.13,0.10,100%,0,275,HIGHALERT,11.14,11.14,0
66,86,77,Bhavnagar,Palitana,Hanol,Sau,G,86.35,90.1,89.5,5.60,5.43,0.17,4.06,3.89,0.17,72.50%,0,281,WARNING,0,0,0
71,80,76,Bhavnagar,Palitana,Kharo,Sau,G,47.5,54.12,53.5,12.24,11.84,0.40,9.71,9.31,0.40,79.33%,0,390,WARNING,0,0,0
74,77,78,Bhavnagar,Palitana,Rajawal,Sau,G,50,56.75,56,28.21,25.84,2.37,22.64,20.27,2.37,80.26%,0,495,ALERT,0,0,0
75,76,75,Bhavnagar,Palitana,Shetrunji,Sau,G,45.17,55.53,55.25,346.48,341.45,5.03,327.51,322.48,5.03,94.52%,0,370,HIGHALERT,0,0,0
67,85,80,Bhavnagar,Talaja,Hamirpara,Sau,G,82.6,87.8,85.8,2.02,1.93,0.09,0.79,0.70,0.09,39.11%,0,312,NIL,0,0,0
65,196,69,Bhavnagar,Talaja,Jaspara-Mandva,Sau,UG,30.2,40.25,34.6,3.72,3.18,0.54,1.27,0.73,0.54,34.14%,25,160,NIL,0,0,0
72,88,79,Bhavnagar,Talaja,Pingli,Sau,G,45.2,51.3,50.7,2.11,1.84,0.27,1.74,1.47,0.27,82.46%,8,358,ALERT,19.99,19.99,0
69,82,67,Bhavnagar,Umrala,Ranghola,Sau,G,53.35,62.5,62.48,36.81,36.81,0.00,36.68,36.68,0.00,99.65%,34,190,HIGHALERT,0,0,0
82,1,59,Botad,Barwala,Khambhada,Sau,G,48.3,50.35,50,4.41,3.48,0.93,3.50,2.57,0.93,79.37%,0,505,WARNING,0,0,0
83,89,56,Botad,Botad,Goma,Sau,UG,120.4,126.5,126.5,15.75,15.12,0.63,15.75,15.12,0.63,100%,5,405,HIGHALERT,63,63,0
79,87,57,Botad,Botad,Kaniyad,Sau,G,99,102.25,101.85,2.93,2.64,0.29,2.39,2.10,0.29,81.57%,10,330,ALERT,0,0,0
