SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
73,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,122.6,10.65,9.98,0.67,2.17,1.50,0.67,20.38%,0,0,NIL,0,0,0
72,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,130.6,10.62,10.20,0.42,2.57,2.15,0.42,24.20%,0,0,NIL,0,0,0
63,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,160.6,10.09,9.86,0.23,0.73,0.50,0.23,7.23%,0,0,NIL,0,0,0
70,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.896,13.64,13.63,0.01,6.31,6.30,0.01,46.26%,0,0,NIL,0,0,0
71,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,199.02,29.94,29.94,0.00,14.40,14.40,0.00,48.10%,0,0,NIL,0,0,0
87,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,46.05,6.93,6.38,0.55,1.89,1.34,0.55,27.27%,0,0,NIL,0,0,0
116,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,0,NIL,0,0,0
115,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.55,5.36,5.09,0.27,1.31,1.04,0.27,24.44%,0,32,NIL,0,0,0
85,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,75.96,26.92,24.63,2.29,9.74,7.45,2.29,36.18%,0,25,NIL,0,0,0
86,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,31.9,10.19,7.44,2.75,2.85,0.10,2.75,27.97%,0,0,NIL,0,0,0
74,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,175.3,7.81,7.34,0.47,2.43,1.96,0.47,31.11%,0,0,NIL,0,0,0
84,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,43.25,6.37,6.37,0.00,0.04,0.04,0.00,0.63%,0,50,NIL,0,0,0
41,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,102.98,7.54,7.22,0.32,0.01,0.00,0.01,0.13%,0,3,NIL,0,0,0
34,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,176.9,152.84,149.39,3.45,46.24,42.79,3.45,30.25%,0,5,NIL,0,0,0
35,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,209.47,53.13,49.97,3.16,24.47,21.31,3.16,46.06%,0,10,NIL,0,0,0
40,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,132.22,158.20,134.79,23.41,75.78,52.37,23.41,47.90%,0,25,NIL,0,0,10
39,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,194.54,9.28,8.70,0.58,2.81,2.23,0.58,30.28%,0,30,NIL,0,0,0
38,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,154.52,43.86,36.58,7.28,22.09,14.81,7.28,50.36%,0,18,NIL,0,0,0
44,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,169.03,397.12,392.01,5.10,38.88,33.78,5.10,9.79%,0,0,NIL,0,0,0
43,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,173.65,161.43,145.37,16.06,6.61,0.00,6.61,4.09%,0,0,NIL,0,0,0
45,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,193.35,31.46,26.30,5.16,4.64,0.00,4.64,14.75%,0,0,NIL,0,0,0
9,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124,136,132.95,14.17,12.56,1.61,9.26,7.65,1.61,65.35%,0,0,NIL,0,0,45
11,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,133.05,8.15,7.84,0.31,0.63,0.32,0.31,7.73%,0,0,NIL,0,0,0
12,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,132.23,7.52,7.27,0.25,0.62,0.37,0.25,8.24%,0,0,NIL,0,0,0
68,84,68,Bhavnagar,Bhavnagar,Lakhanka,Sau,G,34.98,44.22,37.2,3.68,3.68,0.00,0.04,0.04,0.00,1.09%,0,0,NIL,0,0,0
81,90,81,Bhavnagar,Mahuva,Bagad,Sau,UG,55.36,60.41,56.81,11.18,9.66,1.52,2.85,1.33,1.52,25.49%,0,0,NIL,0,0,0
83,81,83,Bhavnagar,Mahuva,Malan,Sau,G,93.9,104.25,101.63,11.44,11.44,0.00,5.04,5.04,0.00,44.06%,0,0,NIL,0,0,0
82,91,82,Bhavnagar,Mahuva,Rojki,Sau,UG,89.15,99.06,93.93,9.23,9.13,0.10,1.90,1.80,0.10,20.59%,0,0,NIL,0,0,0
77,86,77,Bhavnagar,Palitana,Hanol,Sau,G,86.35,90.1,88.1,5.60,5.43,0.17,1.41,1.24,0.17,25.18%,0,0,NIL,0,0,0
76,80,76,Bhavnagar,Palitana,Kharo,Sau,G,47.5,54.12,51.3,12.24,11.84,0.40,3.82,3.42,0.40,31.21%,0,0,NIL,0,0,0
78,77,78,Bhavnagar,Palitana,Rajawal,Sau,G,50,56.75,52.25,28.21,25.84,2.37,6.31,3.94,2.37,22.37%,0,0,NIL,0,0,0
75,76,75,Bhavnagar,Palitana,Shetrunji,Sau,G,45.17,55.53,51.8,346.48,341.45,5.03,135.01,129.98,5.03,38.97%,0,0,NIL,0,0,0
80,85,80,Bhavnagar,Talaja,Hamirpara,Sau,G,82.6,87.8,82.3,2.02,1.93,0.09,0.07,0.00,0.07,3.47%,0,0,NIL,0,0,0
69,196,69,Bhavnagar,Talaja,Jaspara-Mandva,Sau,UG,30.2,40.25,35,3.72,3.18,0.54,1.37,0.83,0.54,36.83%,0,0,NIL,0,0,0
79,88,79,Bhavnagar,Talaja,Pingli,Sau,G,45.2,51.3,47.8,2.11,1.84,0.27,0.69,0.42,0.27,32.70%,0,0,NIL,0,0,0
67,82,67,Bhavnagar,Umrala,Ranghola,Sau,G,53.35,62.5,59.55,36.81,36.81,0.00,12.96,12.96,0.00,35.21%,0,0,NIL,0,0,0
59,1,59,Botad,Barwala,Khambhada,Sau,G,48.3,50.35,49.15,4.41,3.48,0.93,1.84,0.91,0.93,41.72%,0,0,NIL,0,0,0
56,89,56,Botad,Botad,Goma,Sau,UG,120.4,126.5,123.04,15.75,15.12,0.63,4.03,3.40,0.63,25.59%,0,0,NIL,0,0,40
57,87,57,Botad,Botad,Kaniyad,Sau,G,99,102.25,101,2.93,2.64,0.29,1.35,1.06,0.29,46.08%,0,0,NIL,0,0,0
55,182,55,Botad,Botad,Sukhbhadar,Sau,G,102,109.2,105.5,41.13,37.57,3.56,13.95,10.39,3.56,33.92%,0,25,NIL,0,0,0
60,92,60,Botad,Gadhada,Bhimdad,Sau,UG,96.32,104.85,99.97,6.79,6.79,0.00,0.04,0.04,0.00,0.59%,0,0,NIL,0,0,0
66,78,66,Botad,Gadhada,Kalubhar,Sau,G,53.72,60.36,56.35,18.14,16.62,1.52,5.21,3.69,1.52,28.72%,0,0,NIL,0,0,0
64,83,64,Botad,Gadhada,Limbali,Sau,G,124.1,128.1,126.7,8.48,6.94,1.54,5.38,3.84,1.54,63.44%,0,0,NIL,0,0,0
65,79,65,Botad,Gadhada,Malpara,Sau,G,73,78.1,72.6,6.90,6.40,0.50,0.39,0.00,0.39,5.65%,0,0,NIL,0,0,0
58,2,58,Botad,Ranpur,Utavali,Sau,G,47.3,49.3,45.6,9.01,6.91,2.10,0.18,0.00,0.18,2.00%,0,0,NIL,0,0,0
14,40,14,Chhotaudepur,Jetpur pavi,Sukhi,CG,G,134,147.82,145.87,173.01,163.22,9.79,128.53,118.74,9.79,74.29%,0,8,WARNING,0,0,0
15,41,15,Chhotaudepur,Kawant,Rami,CG,UG,184,196.35,188.1,4.55,4.49,0.06,0.50,0.44,0.06,10.99%,0,0,NIL,0,0,0
26,23,26,Dahod,Devgadh baria,WNKL.-BHEY,CG,UG,214.9,223.57,217.46,13.30,11.69,1.61,3.55,1.94,1.61,26.69%,0,10,NIL,0,0,0
25,25,25,Dahod,Dhanpur,Edalwada,CG,FG,228.5,237.3,232.6,14.08,13.28,0.80,4.14,3.34,0.80,29.40%,0,3,NIL,0,0,0
