SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
73,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,122.7,10.65,9.98,0.67,2.30,1.63,0.67,21.60%,0,0,NIL,0,0,0
72,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,130.8,10.62,10.20,0.42,2.89,2.47,0.42,27.21%,0,0,NIL,0,0,0
63,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,160.6,10.09,9.86,0.23,0.73,0.50,0.23,7.23%,0,0,NIL,0,0,0
70,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.957,13.64,13.63,0.01,6.53,6.52,0.01,47.87%,0,0,NIL,0,0,0
71,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,199.21,29.94,29.94,0.00,14.97,14.97,0.00,50.00%,0,0,NIL,0,0,0
87,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,46.05,6.93,6.38,0.55,1.89,1.34,0.55,27.27%,0,0,NIL,0,0,0
116,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,41.02,7.87,7.87,0.00,2.11,2.11,0.00,26.81%,0,0,NIL,0,0,0
115,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.7,5.36,5.09,0.27,1.40,1.13,0.27,26.12%,0,0,NIL,0,0,0
85,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,75.96,26.92,24.63,2.29,9.74,7.45,2.29,36.18%,0,0,NIL,0,0,0
86,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,31.9,10.19,7.44,2.75,2.85,0.10,2.75,27.97%,0,0,NIL,0,0,0
74,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,175.3,7.81,7.34,0.47,2.43,1.96,0.47,31.11%,0,0,NIL,0,0,0
84,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,43.25,6.37,6.37,0.00,0.04,0.04,0.00,0.63%,0,0,NIL,0,0,0
41,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,104,7.54,7.22,0.32,0.02,0.00,0.02,0.27%,0,0,NIL,0,0,0
