SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
76,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124.2,10.65,9.98,0.67,4.94,4.27,0.67,46.38%,0,210,NIL,0,0,0
71,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.3,10.62,10.20,0.42,8.30,7.88,0.42,78.15%,0,260,WARNING,0,0,0
67,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,165.14,10.09,9.86,0.23,5.59,5.36,0.23,55.40%,0,245,NIL,0,0,0
73,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.805,13.64,13.63,0.01,6.03,6.02,0.01,44.21%,0,143,NIL,0,0,0
77,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,199.06,29.94,29.94,0.00,14.47,14.47,0.00,48.33%,0,168,NIL,0,0,0
69,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.7,6.93,6.38,0.55,2.98,2.43,0.55,43.00%,0,215,NIL,0,0,0
66,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,89,NIL,0,0,0
70,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,0,222,NIL,0,0,0
68,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.25,26.92,24.63,2.29,26.92,24.63,2.29,100%,0,263,HIGHALERT,45,45,0
75,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,34.25,10.19,7.44,2.75,9.55,6.80,2.75,93.72%,0,370,HIGHALERT,72,72,0
72,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,245,NIL,0,0,0
74,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.29,6.37,6.37,0.00,6.37,6.37,0.00,100%,0,330,HIGHALERT,0,0,0
2,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,104.64,7.54,7.22,0.32,0.04,0.00,0.04,0.53%,0,202,NIL,0,0,0
5,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,178.79,152.84,149.39,3.45,96.84,93.39,3.45,63.36%,10,395,NIL,300,0,0
6,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,212.47,53.13,49.97,3.16,40.45,37.29,3.16,76.13%,4,399,WARNING,93,0,0
4,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,133.28,158.20,134.79,23.41,93.01,69.60,23.41,58.79%,0,461,NIL,0,0,0
3,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,197.05,9.28,8.70,0.58,5.73,5.15,0.58,61.75%,2,348,NIL,0,0,0
1,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,155.15,43.86,36.58,7.28,25.84,18.56,7.28,58.91%,11,491,NIL,0,0,0
9,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,172.47,397.12,392.01,5.10,80.27,75.17,5.10,20.21%,40,601,NIL,1740,0,2
7,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,176.32,161.43,145.37,16.06,15.71,0.00,15.71,9.73%,109,645,NIL,0,0,0
8,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,197.6,31.46,26.30,5.16,14.95,9.79,5.16,47.52%,14,578,NIL,153,0,0
35,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124,136,136.1,14.17,12.56,1.61,14.17,12.56,1.61,100%,0,455,HIGHALERT,10,10,0
34,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,140.13,8.15,7.84,0.31,6.01,5.70,0.31,73.74%,0,689,WARNING,30.65,0,0
33,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,139.71,7.52,7.27,0.25,7.52,7.27,0.25,100%,22,798,HIGHALERT,7,7,0
81,84,68,Bhavnagar,Bhavnagar,Lakhanka,Sau,G,34.98,44.22,38.7,3.68,3.68,0.00,0.21,0.21,0.00,5.71%,15,295,NIL,0,0,0
82,90,81,Bhavnagar,Mahuva,Bagad,Sau,UG,55.36,60.41,60.43,11.18,9.66,1.52,11.18,9.66,1.52,100%,0,545,HIGHALERT,53,53,0
83,81,83,Bhavnagar,Mahuva,Malan,Sau,G,93.9,104.25,104.25,11.44,11.44,0.00,11.44,11.44,0.00,100%,0,380,HIGHALERT,34,34,0
85,91,82,Bhavnagar,Mahuva,Rojki,Sau,UG,89.15,99.06,99.1,9.23,9.13,0.10,9.23,9.13,0.10,100%,0,401,HIGHALERT,11,11,0
87,86,77,Bhavnagar,Palitana,Hanol,Sau,G,86.35,90.1,89.7,5.60,5.43,0.17,4.53,4.36,0.17,80.89%,0,355,ALERT,0,0,0
84,80,76,Bhavnagar,Palitana,Kharo,Sau,G,47.5,54.12,53.5,12.24,11.84,0.40,9.71,9.31,0.40,79.33%,0,640,WARNING,0,0,0
89,77,78,Bhavnagar,Palitana,Rajawal,Sau,G,50,56.75,56.35,28.21,25.84,2.37,25.15,22.78,2.37,89.15%,0,660,ALERT,0,0,0
88,76,75,Bhavnagar,Palitana,Shetrunji,Sau,G,45.17,55.53,55.53,346.48,341.45,5.03,346.48,341.45,5.03,100%,0,550,HIGHALERT,0,0,0
79,85,80,Bhavnagar,Talaja,Hamirpara,Sau,G,82.6,87.8,86,2.02,1.93,0.09,0.87,0.78,0.09,43.07%,0,408,NIL,0,0,0
78,196,69,Bhavnagar,Talaja,Jaspara-Mandva,Sau,UG,30.2,40.25,34.5,3.72,3.18,0.54,1.25,0.71,0.54,33.60%,0,240,NIL,0,0,0
80,88,79,Bhavnagar,Talaja,Pingli,Sau,G,45.2,51.3,51,2.11,1.84,0.27,1.90,1.63,0.27,90.05%,0,487,HIGHALERT,21,21,0
86,82,67,Bhavnagar,Umrala,Ranghola,Sau,G,53.35,62.5,62.48,36.81,36.81,0.00,36.68,36.68,0.00,99.65%,0,245,HIGHALERT,0,0,0
94,1,59,Botad,Barwala,Khambhada,Sau,G,48.3,50.35,50.25,4.41,3.48,0.93,4.15,3.22,0.93,94.10%,0,640,HIGHALERT,0,0,0
90,89,56,Botad,Botad,Goma,Sau,UG,120.4,126.5,126.46,15.75,15.12,0.63,15.60,14.97,0.63,99.05%,0,460,HIGHALERT,0,0,0
97,87,57,Botad,Botad,Kaniyad,Sau,G,99,102.25,101.7,2.93,2.64,0.29,2.21,1.92,0.29,75.43%,0,430,WARNING,0,0,0
96,182,55,Botad,Botad,Sukhbhadar,Sau,G,102,109.2,108.65,41.13,37.57,3.56,35.61,32.05,3.56,86.58%,15,365,ALERT,0,0,0
95,92,60,Botad,Gadhada,Bhimdad,Sau,UG,96.32,104.85,104.85,6.79,6.79,0.00,6.79,6.79,0.00,100%,0,575,HIGHALERT,0,0,0
98,78,66,Botad,Gadhada,Kalubhar,Sau,G,53.72,60.36,59,18.14,16.62,1.52,15.92,14.40,1.52,87.76%,0,345,ALERT,0,0,0
92,83,64,Botad,Gadhada,Limbali,Sau,G,124.1,128.1,126,8.48,6.94,1.54,3.77,2.23,1.54,44.46%,0,255,NIL,0,0,0
